,Date,Total Amount,Year,# Dividends,% Chg Year-over-Year
0,2007-12-31,2.492,2007,9,0.0
1,2008-12-31,2.76,2008,12,10.75441412520064
2,2009-12-31,2.888,2009,12,4.637681159420293
3,2010-12-31,2.844,2010,12,-1.5235457063711877
4,2011-12-31,2.4859999999999998,2011,12,-12.587904360056267
5,2012-12-31,2.173,2012,11,-12.590506838294434
6,2013-12-31,2.434,2013,12,12.01104463874827
7,2014-12-31,2.493,2014,12,2.423993426458493
8,2015-12-31,2.24,2015,12,-10.148415563578006
9,2016-12-31,2.178,2016,12,-2.7678571428571552
10,2017-12-31,2.129,2017,12,-2.249770431588616
11,2018-12-31,2.161,2018,12,1.5030530765617778
12,2019-12-31,1.996,2019,12,-7.635354002776495
13,2020-12-31,1.844,2020,12,-7.61523046092184
14,2021-12-31,1.755,2021,12,-4.826464208242964
15,2022-12-31,1.835,2022,12,4.558404558404572
16,2023-12-31,2.068,2023,12,12.697547683923705
17,2024-12-31,0.825,2024,5,-60.1063829787234
